feature,AdaBoostRegressor,DecisionTreeRegressor,ExtraTreesRegressor,OrthogonalMatchingPursuit,avg_importance
Tech_TF_Primary_Programming_Language_PL_I,0.0,0.0,0.0,0.0,0.0
Tech_TF_Primary_Programming_Language_Oracle,0.0,0.0,0.0,0.0,0.0
Tech_TF_Client_Roles_business logic or rule processing; data entry & validation; data retrieval & presentation; run a computer-human interface,0.0,0.0,0.0,0.0,0.0
Tech_TF_Primary_Programming_Language_C__,0.0,0.0,0.0,0.0,0.0
Project_PRF_Team_Size_Group_2,0.0,0.0,0.0,0.0,0.0
Tech_TF_Client_Roles_business logic or rule processing; database server; run a computer-human interface,0.0,0.0,0.0,0.0,0.0
Tech_TF_Primary_Programming_Language_ABAP,0.0,0.0,0.0,0.0,0.0
Tech_TF_Language_Type_5GL,0.0,0.0,0.0,0.0,0.0
Tech_TF_Development_Platform_PC,0.0,0.0,0.0,0.0,0.0
External_EEF_Data_Quality_Rating_C,0.0,0.0,0.0,0.0,0.0
Tech_TF_Development_Platform_Missing,0.0,0.0,0.0,0.0,0.0
Tech_TF_Client_Server_Yes,0.0,0.0,0.0,0.0,0.0
Tech_TF_Client_Server_No,0.0,0.0,0.0,0.0,0.0
Tech_TF_Client_Roles_web/html browser,0.0,0.0,0.0,0.0,0.0
Project_PRF_Team_Size_Group_5_8,0.0,0.0,0.0,0.0,0.0
Project_PRF_Relative_Size_XXS,0.0,0.0,0.0,0.0,0.0
Project_PRF_Application_Type_business application,0.0,0.0,0.0,0.0,0.0
Project_PRF_Application_Type_electronic data interchange,0.0,0.0,0.0,0.0,0.0
"Project_PRF_Application_Type_catalogue/register of things or events; customer billing; financial transaction process/accounting; job, case, incident, project management; management or performance reporting; mathematical modelling; online analysis and reporting; workflow support & management",0.0,0.0,0.0,0.0,0.0
Project_PRF_Application_Type_catalogue/register of things or events; logistic or supply planning & control,0.0,0.0,0.0,0.0,0.0
Project_PRF_Application_Type_complex process control; workflow support & management,0.0,0.0,0.0,0.0,0.0
Tech_TF_Client_Roles_web public interface,0.0,0.0,0.0,0.0,0.0
Project_PRF_Application_Type_course management,0.0,0.0,0.0,0.0,0.0
Project_PRF_Application_Type_customer billing/relationship management,0.0,0.0,0.0,0.0,0.0
project_prf_application_group_real_time_application,0.0,0.0,0.0,0.0,0.0
Project_PRF_Application_Type_customer billing; financial transaction process/accounting,0.0,0.0,0.0,0.0,0.0
Project_PRF_Application_Type_data or database management,0.0,0.0,0.0,0.0,0.0
Project_PRF_Application_Type_mathematical modelling (finance or eng.); software development tool,0.0,0.0,0.0,0.0,0.0
Project_PRF_Relative_Size_XL,0.0,0.0,0.0,0.0,0.0
Project_PRF_Application_Type_online analysis and reporting,0.0,0.0,0.0,0.0,0.0
Project_PRF_Application_Type_security controls,0.0,0.0,0.0,0.0,0.0
Project_PRF_Application_Type_surveillance and security,0.0,0.0,0.0,0.0,0.0
Project_PRF_CASE_Tool_Used_Yes,0.0,0.0,0.0,0.0,0.0
Project_PRF_Cost_currency_European__euro,0.0,0.0,0.0,0.0,0.0
Project_PRF_Cost_currency_Missing,0.0,0.0,0.0,0.0,0.0
Project_PRF_Cost_currency_United_States__dollar,0.0,0.0,0.0,0.0,0.0
Project_PRF_Relative_Size_M2,0.0,0.0,0.0,0.0,0.0
Project_PRF_Relative_Size_S,0.0,0.0,0.0,0.0,0.0
Project_PRF_Application_Type_content management system; dynamic website,0.0,0.0,0.0,0.0,0.0
